文档,摘要,模型预测摘要
温格透露，同切尔西一战厄齐尔曾听见膝盖咔的一声，“他在中场休息之前遇到了一些小问题，他的膝盖感受到了一丝疼痛，他听到了断裂的声音，因为当时0-1落后，你肯定希望将自己的进攻球员摆在场上。”此外，温格表示大面积伤病纯属巧合。,温 格 ： 厄 齐 尔 曾 闻 膝 盖 受 伤,温 格 ： 我 在 肯 定
由于涉嫌偷税漏税，梅西已经被告上法庭。在接受《阿斯报》采访时，梅西父亲豪尔赫宣称这都是自己的问题，梅西对此并不知情，“梅西与此事完全无关，所以没必要去说什么。这事是我的责任，有话去和我律师说。,梅 西 父 亲 : 偷 税 责 任 全 在 我 自 己 与 儿 子 完 全 无 关,梅 西 去 西 甲 梅 西 否 认 与 无 法 告 诉
当地时间周一晚，皮克和弟弟马克驾车外出，因为违规停车他们收到了交警的罚单，皮克对此非常的不满，并与交警发生口头冲突，“你是嫉妒我，因为我是名人……在此事被媒体曝光后，皮克在推特上进行了道歉，“事实被夸大了，但确实是我错了，对不起。,皮 克 与 交 警 发 生 冲 突,皮 克 特 ： 因 为 我 对 他 人 罚 单
前皇马和巴萨球星劳德鲁普表示，梅西和C罗需要彼此，这样才能共同进步，“我想他们需要彼此，他们俩要是有一个上演了帽子戏法，另外一个就会试着做得更好。30年后，我们依然会谈论他们，谈论梅西、C罗、马拉多纳和贝利究竟谁才是史上最伟大的球员。,劳 德 鲁 普 ： C 罗 梅 西 需 要 彼 此,梅 西 ： C 罗 与 梅 西 才 是 最 后 一 个
切尔西中场大将阿扎尔坦承，他还不是世界上最出色的五名球员之一，“我还不是排名前五的球员，可能我已经很接近了，但我在一些方面仍需做得更好。谁还比我更好？那两个外星人罗纳尔多和梅西，伊布、里贝里和罗本，他们每场比赛几乎都可以起到决定作用。,阿 扎 尔 ： 仍 非 世 界 前 五,阿 扎 尔 ： 我 比 更 比 比
北京时间10月15日晚，拜仁官方正式宣布：球队的中场大将蒂亚戈因为在训练中伤到右膝盖内韧带，他将再次接受手术治疗，且继续长期缺阵。他在接受采访时说道：“为什么总是我？我还能说什么呢？现在我当然非常失望。但我不会放弃。,拜 仁 官 方 宣 布 蒂 亚 戈 再 伤,中 国 将 在 亚 洲 大 会 中 场
欧足联主席普拉蒂尼表示，如果在足球比赛当中引进慢镜头回放吹罚技术，那将给比赛本身造成致命伤害，“慢镜头回放将给足球带来灾难，它会让比赛的流畅性受到破坏，但我还是希望为了足球着想，最好不要想着引进这项技术。,普 拉 蒂 尼 ： 引 进 慢 镜 回 放 将 是 足 球 比 赛 的 灾 难,引 进 球 迷 引 进 球 迷 进 球
周五的欧预赛，捷克2-1土耳其，罗西基在比赛中遭对方球员撞击，肌肉出现了问题，“医生说我的肌肉之间出现了肿胀的情况。”34岁的罗西基是过去两周第4名受伤的枪手国脚，厄齐尔膝盖受伤缺席3个月，科斯切尔尼跟腱受伤，维尔贝克脚踝轻度扭伤。,罗 西 基 遭 遇 肌 肉 肿 胀,欧 罗 西 欧 比 基 尼 受 伤
皇马中场托尼-克罗斯坦承，虽然曼联也曾对自己感兴趣，但如果离开拜仁不加盟皇马而是转投英超的话，他只会选择切尔西，“皇马、拜仁、巴萨和切尔西是目前最为出色的四家俱乐部，所以我只会在他们当中选择一家。,克 罗 斯 ： 若 去 英 超 只 会 加 盟 切 尔 西,皇 马 的 托 克 罗 斯 ： 离 开 皇 马
法国队3-0完胜亚美尼亚的比赛结束之后，一位小球迷冲进场内向博格巴索要球衣，但博格巴告知小球迷已答应将球衣赠与他人，随后博格巴准备脱下球裤送给小球迷，但被拒绝了。,小 球 迷 索 博 格 巴 球 衣 遭 拒 后 者 欲 赠 球 裤 未 果,索 尼 拒 绝 球 迷 球 衣
阿隆索在接受Goal.com采访时说道：“关于我离开皇马的原因外界有很多看法，但事实上我想重新上路，在皇马效力了5年并且夺得了欧冠之后，我想要寻找新的挑战，这跟其他球员的转会或者说托尼-克罗斯无关，安切洛蒂相信，我我在皇马没有问题。,阿 隆 索 ： 离 开 皇 马 因 渴 望 新 挑 战,阿 隆 索 ： 我 想 离 开 阿 洛 克
阿森纳CEO加齐迪斯日前在接受采访时表示，为温格寻找接班人将是俱乐部在未来面临的最大挑战，“温格是一名伟大的教练，他把球队带到了一个很高的高度。未来几年我们将面临的最大挑战是为温格寻找接班人，我不知道过渡期会发生什么。,加 齐 迪 斯 ： 难 寻 温 格 接 班 人,温 格 ： 未 来 将 加 大 温 格
巴西4-0大胜日本，内马尔包办了本队的全部进球，这也让他成为了继济济尼奥、阿德米尔、儒利尼奥、埃瓦里斯托、济科、卡雷卡和罗马里奥之后又一位上演大四喜的巴西球员，赛后内马尔表示，他从未想过会在代表巴西出战的比赛中上演大四喜。,内 马 尔 ： 做 梦 都 没 想 过 上 演 大 四 喜,马 尔 代 表 大 战 ： 四 大 内 容 比 赛
拜仁CEO鲁梅尼格表示，主帅瓜迪奥拉的存在将为德甲冠军吸引到更多顶级球员加盟，“从跟球员谈话当中我了解到，是大家选择来拜仁的重要原因，莱万、格策等人之所以来拜仁是因为他们想跟瓜迪奥拉合作，他是个不可思议的教练。,鲁 梅 尼 格 ： 瓜 帅 能 为 拜 仁 吸 引 强 援,瓜 帅 奥 拉 ： 拜 仁 吸 瓜 帅
67岁的希丁克执教橙衣军团至今，球队在4场比赛当中已经输掉3场。德波尔在接受采访时说道：”我对希丁克非常尊敬，但他已经67岁了，在我看来，他应该已经没有机会了。当然他曾经有过非常棒的执教经历，但他的执教理念已经过时。,德 波 尔 ： 希 丁 克 理 念 已 过 时 本 不 该 执 掌 荷 兰,希 尔 克 ： 输 了 他 的 输 球
欧足联财政公平法案施行之后，曼城、巴黎圣日耳曼等“暴发户”成为第一批受害者。不过，曼城并没有坐以待毙，日前他们同欧足联主席普拉蒂尼会面，希望劝说UEFA准许他们向俱乐部适度投资。,曼 城 巴 黎 高 层 会 晤 普 拉 蒂 尼 盼 欧 足 联 修 改 F F P,欧 洲 第 一 批 准 联 合 国 主 席
弗格森在接受曼联电视台MUTV的专访时对范加尔表示了支持:“他没获得大家期待的成绩，但我刚来曼联时，也没有获得自己期待的成绩，当时我们需要查尔顿爵士和董事会相信我，之后我们一起创造了伟大的时代。范加尔在经历同样的过程，我丝毫不怀疑他能搞定。,弗 格 森 力 挺 范 加 尔,弗 格 森 ： 我 的 时 代
现任切尔西主帅、前任皇马主帅穆里尼奥周一透露，瓦拉内当时“一只脚踏进了曼联”，但齐达内最终虎口夺食，说服瓦拉内投奔了皇马。瓦拉内日前向法国《队报》证实，他险些同曼联签约：““曼联？当时他们已经签下了菲尔-琼斯，他的位置跟我一样……”,曼 联 因 签 琼 斯 错 过 瓦 拉 内,内 马 尔 ： 只 有 一 个 “ 虎 ”
克罗斯日前在接受采访时表示，“在我看来，世界上没有球员比C罗更出色，而且他的性格非常好，在我刚刚加盟皇马时，他是主动亲近我的人之一，尽管很多人不相信，但皇马球员的关系都很亲密。,克 罗 斯 : C 罗 世 界 最 佳 且 为 人 和 善,C 罗 ： 我 的 球 员 不 是 我 的
在英格兰与爱沙尼亚的比赛中斯特林没有首发，赛后霍奇森透露是因为斯特林说他太累了才没安排他首发，而这引起了一些球迷对斯特林的质疑，“斯特林说累？想想我们吧，一周6天要5点起床，而且风雨无阻！”对此斯特林在回应，“很抱歉我也是人…”,斯 特 林 喊 累 主 动 求 替 补 遭 球 迷 质 疑,霍 奇 特 斯 ： 我 们 想 要 我 们 的 球 迷
由教育部制定的中国青少年校园足球规划（2015-2025年）即将出台。据悉，此次教育部新制定的校园足球十年规划提出，到2020年，全国校园足球定点校要达到2万所，足球人口要达到2000万人。,教 育 部 校 园 足 球 1 0 年 规 划 2 0 2 0 年 足 球 人 口 达 2 千 万,教 育 部 ： 2 0 1 5 年 将 达 2 0 0 0 万 人
日前有报道称巴尔德斯拒绝了利物浦方面的试训邀请，然而巴尔德斯的经纪人卡瓦哈尔对此予以了否认，“我们没有拒绝他们的邀请，因为这是虚假报道。他们从未向我们发出试训邀请，罗杰斯没有，利物浦也没有，任何时候都没有过。,经 纪 人 ： 巴 尔 德 斯 并 未 收 到 利 物 浦 试 训 邀 请,巴 斯 利 物 浦 否 认 巴 德 利 物 浦 邀 请
阿森纳主帅温格在接受采访时表示：“我并不为放弃塞斯克感到后悔，因为我们在中场已经有足够多具备创造力的球员了，切尔西这赛季也会遇到一个困难时期。我们的赛程非常艰难，我相信我们可以缩小同他们的差距。,温 格 ： 不 后 悔 放 弃 小 法 定 能 迫 近 切 尔 西,温 格 ： 我 们 已 经 不 到 艰 难
据《每日邮报》披露，阿森纳中场厄齐尔希望在明年1月份尽快离队，拜仁已经准备为厄齐尔报价3000万英镑。厄齐尔在阿森纳过得不开心，其中最主要的一个原因就是主帅温格并未将其放在自己最为喜欢的前腰位置上。,邮 报 ： 厄 齐 尔 欲 1 月 离 队,厄 齐 尔 将 为 拜 仁 最 快 明 年
据《每日镜报》透露，2016年至2019年三年的英超国内转播权，很可能被卖到40亿英镑的高价（2013至2016年30亿），如果真的卖到这个价格，那意味着电视台平均转播一场比赛，至少要向英超支付700万磅，而每个俱乐部将会从英超获得1亿磅的分成。,英 超 2 0 1 6 - 1 9 赛 季 转 播 费 可 能 升 至 4 0 亿,英 超 超 7 0 0 亿 英 镑 超 过 英 国
据《每日镜报》报道，枪手前锋波多尔斯基在接受采访时说：“如果我的状况得不到改善，我必须要考虑冬窗离开，我不喜欢总是坐在替补席上，我已经29岁了，我想要上场比赛，我会找主帅谈谈，然后看看会发生什么。,波 尔 蒂 ： 如 果 得 不 到 更 多 机 会 将 考 虑 冬 窗 离 开,谈 谈 比 尔 ： 我 想 要 想 补 离
据《每日镜报》报道，已经至少有25名切尔西球迷提前预定明年6月飞往欧冠决赛地柏林的机票。2012年，切尔西在不被人看好的情况下杀入欧冠决赛，当时英国航空公司推出的往返机票涨到了700英镑，最便宜往返机票也要467英镑，而现在预定只要96英磅。,切 尔 西 球 迷 预 订 欧 冠 决 赛 机 票,英 国 航 空 公 司 预 计 明 年 6 月 7 日 发 布
皮克表示，“我支持的是加泰罗尼亚地区的独立公投，人们有权通过投票来做出民主的选择，我捍卫人们表达意愿的权利，但这并不意味着我支持独立。我不会为一个自己没有感情的国家队效力，入选西班牙国家队都会让我很享受很高兴。,皮 克 : 支 持 加 泰 公 投 不 意 味 着 支 持 独 立,我 国 独 家 ： 我 国 队 选 择 独 立
据《mediaset》报道，国际米兰主席托希尔已经把前曼联主帅莫耶斯视为新主帅的候选人，并且已经邀请莫耶斯前往梅阿查观看意甲第7轮国米与那不勒斯的比赛。而莫耶斯在接受《每日电讯报》采访时也表示他已经做好了重新指教的准备。,传 莫 耶 斯 接 替 马 扎 里 上 任 国 米 主 帅,耶 托 ： 我 国 第 一 人 ， 我 们 已 经 确 认
昨晚巴西与阿根廷的比赛，卡卡80多分钟才替补出场，在赛后的新闻发布会中巴西主帅邓加表示，“卡卡上场完全是战术安排，卡卡的特点是速度，比赛最后想让他上场去冲一冲，完全没有球迷呼喊或商业方面的考虑。,邓 加 ： 卡 卡 登 场 非 因 球 迷 呼 唤,卡 西 ： 我 是 我 的 冲 出
今夏以6000万英镑转会曼联的迪马利亚初登梦剧场便星光四射，然而据《每日邮报》披露，在确定加盟红魔之前，迪马利亚曾跟摩纳哥达成协议，但金钱问题最终还是成了这笔转会成行的症结点，阿根廷边锋才决定转投曼联。,邮 报 ： 天 使 转 会 曼 联 前 曾 跟 摩 纳 哥 达 协 议,马 光 远 ： 曼 联 成 为 摩 纳 哥
前曼联主帅莫耶斯表示，贾努扎伊拥有成为欧洲最佳球员之一所需具备的能力和秉性，“贾努扎伊是我执教生涯所遇到的最为出色的年轻人之一，就像维恩-鲁尼一样，他拥有跟维恩在这个年纪时一样的条件，他会成为全欧洲最为出色的球员之一。,莫 耶 斯 ： 贾 努 扎 伊 将 成 欧 洲 最 佳 球 员 之 一,努 力 扎 伊 伊 年 轻 人
